,oncopanel_v1,oncopanel_v2,oncopanel_v3,msk_impact341,msk_impact410,msk_impact468,vicc_01_t5a,vicc_01_t7
ABL1,O,O,O,O,O,O,O,O
AKT1,O,O,O,O,O,O,O,O
AKT2,O,O,O,O,O,O,O,O
AKT3,O,O,O,O,O,O,O,O
ALK,O,O,O,O,O,O,O,O
APC,O,O,O,O,O,O,O,O
AR,O,O,O,O,O,O,O,O
ARAF,O,O,O,O,O,O,O,O
ARID1A,O,O,O,O,O,O,O,O
ARID2,O,O,O,O,O,O,O,O
ASXL1,O,O,O,O,O,O,O,O
ATM,O,O,O,O,O,O,O,O
ATRX,O,O,O,O,O,O,O,O
AURKA,O,O,O,O,O,O,O,O
AURKB,O,O,O,O,O,O,O,O
AXL,O,O,O,O,O,O,O,O
BAP1,O,O,O,O,O,O,O,O
BCL2,O,O,O,O,O,O,O,O
BCL6,O,O,O,O,O,O,O,O
BCOR,O,O,O,O,O,O,O,O
BLM,O,O,O,O,O,O,O,O
BRAF,O,O,O,O,O,O,O,O
BRCA1,O,O,O,O,O,O,O,O
BRCA2,O,O,O,O,O,O,O,O
BRIP1,O,O,O,O,O,O,O,O
CARD11,O,O,O,O,O,O,O,O
CBL,O,O,O,O,O,O,O,O
CCND1,O,O,O,O,O,O,O,O
CCND2,O,O,O,O,O,O,O,O
CCND3,O,O,O,O,O,O,O,O
CCNE1,O,O,O,O,O,O,O,O
CD79B,O,O,O,O,O,O,O,O
CDC73,O,O,O,O,O,O,O,O
CDH1,O,O,O,O,O,O,O,O
CDK4,O,O,O,O,O,O,O,O
CDK6,O,O,O,O,O,O,O,O
CDKN1B,O,O,O,O,O,O,O,O
CDKN2A,O,O,O,O,O,O,O,O
CDKN2B,O,O,O,O,O,O,O,O
CDKN2C,O,O,O,O,O,O,O,O
CHEK2,O,O,O,O,O,O,O,O
CREBBP,O,O,O,O,O,O,O,O
CRKL,O,O,O,O,O,O,O,O
CRLF2,O,O,O,O,O,O,O,O
CTNNB1,O,O,O,O,O,O,O,O
DDR2,O,O,O,O,O,O,O,O
DIS3,O,O,O,O,O,O,O,O
DNMT3A,O,O,O,O,O,O,O,O
EGFR,O,O,O,O,O,O,O,O
EP300,O,O,O,O,O,O,O,O
ERBB2,O,O,O,O,O,O,O,O
ERBB3,O,O,O,O,O,O,O,O
ERBB4,O,O,O,O,O,O,O,O
ERCC2,O,O,O,O,O,O,O,O
ESR1,O,O,O,O,O,O,O,O
ETV1,O,O,O,O,O,O,O,O
ETV6,O,O,O,O,O,O,O,O
EZH2,O,O,O,O,O,O,O,O
FAM46C,O,O,O,O,O,O,O,O
FANCA,O,O,O,O,O,O,O,O
FANCC,O,O,O,O,O,O,O,O
FBXW7,O,O,O,O,O,O,O,O
FGFR1,O,O,O,O,O,O,O,O
FGFR2,O,O,O,O,O,O,O,O
FGFR3,O,O,O,O,O,O,O,O
FGFR4,O,O,O,O,O,O,O,O
FLT1,O,O,O,O,O,O,O,O
FLT3,O,O,O,O,O,O,O,O
FLT4,O,O,O,O,O,O,O,O
GATA3,O,O,O,O,O,O,O,O
GNA11,O,O,O,O,O,O,O,O
GNAQ,O,O,O,O,O,O,O,O
GNAS,O,O,O,O,O,O,O,O
HRAS,O,O,O,O,O,O,O,O
IDH1,O,O,O,O,O,O,O,O
IDH2,O,O,O,O,O,O,O,O
IGF1R,O,O,O,O,O,O,O,O
IKZF1,O,O,O,O,O,O,O,O
JAK2,O,O,O,O,O,O,O,O
JAK3,O,O,O,O,O,O,O,O
KDM6A,O,O,O,O,O,O,O,O
KDR,O,O,O,O,O,O,O,O
KIT,O,O,O,O,O,O,O,O
KMT2A,O,O,O,O,O,O,O,O
KMT2D,O,O,O,O,O,O,O,O
KRAS,O,O,O,O,O,O,O,O
LMO1,O,O,O,O,O,O,O,O
MAP2K1,O,O,O,O,O,O,O,O
MAP2K4,O,O,O,O,O,O,O,O
MAP3K1,O,O,O,O,O,O,O,O
MCL1,O,O,O,O,O,O,O,O
MDM2,O,O,O,O,O,O,O,O
MDM4,O,O,O,O,O,O,O,O
MEF2B,O,O,O,O,O,O,O,O
MEN1,O,O,O,O,O,O,O,O
MET,O,O,O,O,O,O,O,O
MITF,O,O,O,O,O,O,O,O
MLH1,O,O,O,O,O,O,O,O
MPL,O,O,O,O,O,O,O,O
MSH2,O,O,O,O,O,O,O,O
MSH6,O,O,O,O,O,O,O,O
MTOR,O,O,O,O,O,O,O,O
MUTYH,O,O,O,O,O,O,O,O
MYC,O,O,O,O,O,O,O,O
MYCL,O,O,O,O,O,O,O,O
MYCN,O,O,O,O,O,O,O,O
MYD88,O,O,O,O,O,O,O,O
NBN,O,O,O,O,O,O,O,O
NF1,O,O,O,O,O,O,O,O
NF2,O,O,O,O,O,O,O,O
NFE2L2,O,O,O,O,O,O,O,O
NKX2-1,O,O,O,O,O,O,O,O
NOTCH1,O,O,O,O,O,O,O,O
NOTCH2,O,O,O,O,O,O,O,O
NPM1,O,O,O,O,O,O,O,O
NRAS,O,O,O,O,O,O,O,O
NTRK1,O,O,O,O,O,O,O,O
NTRK2,O,O,O,O,O,O,O,O
NTRK3,O,O,O,O,O,O,O,O
PALB2,O,O,O,O,O,O,O,O
PAX5,O,O,O,O,O,O,O,O
PDGFRA,O,O,O,O,O,O,O,O
PDGFRB,O,O,O,O,O,O,O,O
PIK3CA,O,O,O,O,O,O,O,O
PIK3R1,O,O,O,O,O,O,O,O
PMS2,O,O,O,O,O,O,O,O
PRDM1,O,O,O,O,O,O,O,O
PRKAR1A,O,O,O,O,O,O,O,O
PTCH1,O,O,O,O,O,O,O,O
PTEN,O,O,O,O,O,O,O,O
PTPN11,O,O,O,O,O,O,O,O
RAF1,O,O,O,O,O,O,O,O
RARA,O,O,O,O,O,O,O,O
RB1,O,O,O,O,O,O,O,O
REL,O,O,O,O,O,O,O,O
RET,O,O,O,O,O,O,O,O
ROS1,O,O,O,O,O,O,O,O
RUNX1,O,O,O,O,O,O,O,O
SETD2,O,O,O,O,O,O,O,O
SF3B1,O,O,O,O,O,O,O,O
SMAD2,O,O,O,O,O,O,O,O
SMAD4,O,O,O,O,O,O,O,O
SMARCA4,O,O,O,O,O,O,O,O
SMARCB1,O,O,O,O,O,O,O,O
SMO,O,O,O,O,O,O,O,O
SOCS1,O,O,O,O,O,O,O,O
SOX2,O,O,O,O,O,O,O,O
STAG2,O,O,O,O,O,O,O,O
STK11,O,O,O,O,O,O,O,O
SUFU,O,O,O,O,O,O,O,O
TET2,O,O,O,O,O,O,O,O
TNFAIP3,O,O,O,O,O,O,O,O
TP53,O,O,O,O,O,O,O,O
TSC1,O,O,O,O,O,O,O,O
TSC2,O,O,O,O,O,O,O,O
VHL,O,O,O,O,O,O,O,O
WT1,O,O,O,O,O,O,O,O
XPO1,O,O,O,O,O,O,O,O
ALOX12B,O,O,,O,O,O,O,O
ARID1B,O,O,O,O,O,O,,O
BCL2L1,O,O,O,O,O,O,,O
BMPR1A,O,O,O,O,O,O,,O
BRD4,O,O,O,O,O,O,,O
CD274,O,O,O,O,O,O,,O
CDKN1A,O,O,O,O,O,O,,O
CEBPA,O,O,O,,O,O,O,O
DICER1,O,O,O,O,O,O,,O
EPHA3,O,O,,O,O,O,O,O
EPHA5,O,O,,O,O,O,O,O
ERCC4,O,O,O,O,O,O,,O
ERG,,O,O,O,O,O,O,O
FH,O,O,O,O,O,O,,O
FLCN,O,O,O,O,O,O,,O
HNF1A,O,O,O,O,O,O,,O
KDM5C,,O,O,O,O,O,O,O
KEAP1,,O,O,O,O,O,O,O
NFKBIA,O,O,O,,O,O,O,O
PARK2,O,O,O,O,O,O,,O
PBRM1,,O,O,O,O,O,O,O
PNRC1,O,O,,O,O,O,O,O
SDHB,O,O,O,O,O,O,,O
SDHC,O,O,O,O,O,O,,O
SDHD,O,O,O,O,O,O,,O
SH2B3,O,O,O,,O,O,O,O
SOX9,O,O,O,O,O,O,,O
SRC,O,O,,O,O,O,O,O
SYK,O,O,,O,O,O,O,O
TMPRSS2,,O,O,O,O,O,O,O
U2AF1,O,O,O,O,O,O,,O
ATR,,,O,O,O,O,O,O
B2M,O,O,O,O,O,O,,
BARD1,,,O,O,O,O,O,O
CASP8,,,O,O,O,O,O,O
CBFB,,,O,O,O,O,O,O
CDK12,,,O,O,O,O,O,O
CDK8,,,O,O,O,O,O,O
CHEK1,,,O,O,O,O,O,O
CIC,,,O,O,O,O,O,O
CSF1R,,O,,O,O,O,O,O
