features,Somatic mutation,CNA,Muation Signature
ABL1,O,O,
ACVR1,O,O,
AKT1,O,O,
AKT2,O,O,
AKT3,O,O,
ALK,O,O,
ALOX12B,O,O,
APC,O,O,
AR,O,O,
ARAF,O,O,
ARID1A,O,O,
ARID1B,O,O,
ARID2,O,O,
ASXL1,O,O,
ATM,O,O,
ATR,O,O,
ATRX,O,O,
AURKA,O,O,
AURKB,O,O,
AXIN2,O,O,
AXL,O,O,
B2M,O,O,
BABAM1,O,O,
BAP1,O,O,
BARD1,O,O,
BCL2,O,O,
BCL2L1,O,O,
BCL6,O,O,
BCOR,O,O,
BCORL1,O,O,
BLM,O,O,
BMPR1A,O,O,
BRAF,O,O,
BRCA1,O,O,
BRCA2,O,O,
BRD4,O,O,
BRIP1,O,O,
CALR,O,O,
CARD11,O,O,
CASP8,O,O,
CBFB,O,O,
CBL,O,O,
CCND1,O,O,
CCND2,O,O,
CCND3,O,O,
CCNE1,O,O,
CD274,O,O,
CD79B,O,O,
CDC73,O,O,
CDH1,O,O,
CDK12,O,O,
CDK4,O,O,
CDK6,O,O,
CDK8,O,O,
CDKN1A,O,O,
CDKN1B,O,O,
CDKN2A,O,O,
CDKN2B,O,O,
CDKN2C,O,O,
CEBPA,O,O,
CHEK1,O,O,
CHEK2,O,O,
CIC,O,O,
CREBBP,O,O,
CRKL,O,O,
CRLF2,O,O,
CSF1R,O,O,
CSF3R,O,O,
CTCF,O,O,
CTLA4,O,O,
CTNNA1,O,O,
CTNNB1,O,O,
CXCR4,O,O,
CYLD,O,O,
DAXX,O,O,
DDR2,O,O,
DICER1,O,O,
DIS3,O,O,
DNMT3A,O,O,
EED,O,O,
EGFR,O,O,
EP300,O,O,
EPCAM,O,O,
EPHA3,O,O,
EPHA5,O,O,
EPHA7,O,O,
ERBB2,O,O,
ERBB3,O,O,
ERBB4,O,O,
ERCC2,O,O,
ERCC3,O,O,
ERCC4,O,O,
ERCC5,O,O,
ERG,O,O,
ESR1,O,O,
ETV1,O,O,
ETV6,O,O,
EZH2,O,O,
FAM175A,O,O,
FAM46C,O,O,
FANCA,O,O,
FANCC,O,O,
FANCD2,O,O,
FANCE,O,O,
FANCF,O,O,
FANCG,O,O,
FANCL,O,O,
FAS,O,O,
FAT1,O,O,
FBXW7,O,O,
FGFR1,O,O,
FGFR2,O,O,
FGFR3,O,O,
FGFR4,O,O,
FH,O,O,
FLCN,O,O,
FLT1,O,O,
FLT3,O,O,
FLT4,O,O,
FOXA1,O,O,
FOXL2,O,O,
GATA2,O,O,
GATA3,O,O,
GATA4,O,O,
GATA6,O,O,
GLI1,O,O,
GNA11,O,O,
GNAQ,O,O,
GNAS,O,O,
GREM1,O,O,
H3F3A,O,O,
H3F3B,O,O,
HIST1H3B,O,O,
HIST1H3C,O,O,
HNF1A,O,O,
HOXB13,O,O,
HRAS,O,O,
ID3,O,O,
IDH1,O,O,
IDH2,O,O,
IGF1R,O,O,
IGF2,O,O,
IKZF1,O,O,
IL7R,O,O,
JAK1,O,O,
JAK2,O,O,
JAK3,O,O,
KAT6A,O,O,
KDM5A,O,O,
KDM5C,O,O,
KDM6A,O,O,
KDR,O,O,
KEAP1,O,O,
KIT,O,O,
KLF4,O,O,
KMT2A,O,O,
KMT2D,O,O,
KRAS,O,O,
LMO1,O,O,
MAP2K1,O,O,
MAP2K2,O,O,
MAP2K4,O,O,
MAP3K1,O,O,
MAPK1,O,O,
MAX,O,O,
MCL1,O,O,
MDM2,O,O,
MDM4,O,O,
MED12,O,O,
MEF2B,O,O,
MEN1,O,O,
MET,O,O,
MGA,O,O,
MITF,O,O,
MLH1,O,O,
MPL,O,O,
MRE11A,O,O,
MSH2,O,O,
MSH6,O,O,
MTOR,O,O,
MUTYH,O,O,
MYC,O,O,
MYCL,O,O,
MYCN,O,O,
MYD88,O,O,
NBN,O,O,
NEGR1,O,O,
NF1,O,O,
NF2,O,O,
NFE2L2,O,O,
NFKBIA,O,O,
NKX2-1,O,O,
NKX3-1,O,O,
NOTCH1,O,O,
NOTCH2,O,O,
NOTCH3,O,O,
NPM1,O,O,
NRAS,O,O,
NSD1,O,O,
NTHL1,O,O,
NTRK1,O,O,
NTRK2,O,O,
NTRK3,O,O,
PALB2,O,O,
PARK2,O,O,
PAX5,O,O,
PBRM1,O,O,
PDCD1LG2,O,O,
PDGFRA,O,O,
PDGFRB,O,O,
PHOX2B,O,O,
PIK3C2B,O,O,
PIK3CA,O,O,
PIK3R1,O,O,
PIM1,O,O,
PMS1,O,O,
PMS2,O,O,
PNRC1,O,O,
POLD1,O,O,
POLE,O,O,
PPARG,O,O,
PPM1D,O,O,
PPP2R1A,O,O,
